dataset_id,window_seconds,half_life_seconds,lambda_value,score_available_after_seconds,warning_quantile,upper_quantile,warning_limit,upper_limit,warning_false_positive_rate,upper_false_positive_rate,persistent_upper_false_positive_rate,horizon_states,required_count,persistent_episode_count
N3,8,15,0.045158,107,0.95,0.99,11.220951243277804,19.10493627593452,0.05045045045045045,0.01021021021021021,0.0,16,15,0
N3,8,15,0.045158,107,0.95,0.995,11.220951243277804,22.228189577791113,0.05045045045045045,0.005405405405405406,0.0,16,9,0
N3,8,15,0.045158,107,0.95,0.995,11.220951243277804,22.228189577791113,0.05045045045045045,0.005405405405405406,0.0,16,12,0
N3,8,15,0.045158,107,0.95,0.995,11.220951243277804,22.228189577791113,0.05045045045045045,0.005405405405405406,0.0,16,15,0
N3,8,15,0.045158,107,0.975,0.99,13.364667009275312,19.10493627593452,0.025225225225225224,0.01021021021021021,0.006606606606606606,16,9,1
N3,8,15,0.045158,107,0.975,0.99,13.364667009275312,19.10493627593452,0.025225225225225224,0.01021021021021021,0.003003003003003003,16,12,1
N3,8,15,0.045158,107,0.975,0.99,13.364667009275312,19.10493627593452,0.025225225225225224,0.01021021021021021,0.0,16,15,0
N3,8,15,0.045158,107,0.975,0.995,13.364667009275312,22.228189577791113,0.025225225225225224,0.005405405405405406,0.0,16,9,0
N3,8,15,0.045158,107,0.975,0.995,13.364667009275312,22.228189577791113,0.025225225225225224,0.005405405405405406,0.0,16,12,0
N3,8,15,0.045158,107,0.975,0.995,13.364667009275312,22.228189577791113,0.025225225225225224,0.005405405405405406,0.0,16,15,0
N3,8,20,0.034064,140,0.9,0.99,9.197797583166297,18.286304642749652,0.10049019607843138,0.010416666666666666,0.0055147058823529415,16,9,1
N3,8,20,0.034064,140,0.9,0.99,9.197797583166297,18.286304642749652,0.10049019607843138,0.010416666666666666,0.0,16,12,0
N3,8,20,0.034064,140,0.9,0.99,9.197797583166297,18.286304642749652,0.10049019607843138,0.010416666666666666,0.0,16,15,0
N3,8,20,0.034064,140,0.9,0.995,9.197797583166297,20.163352787055743,0.10049019607843138,0.0055147058823529415,0.0,16,9,0
N3,8,20,0.034064,140,0.9,0.995,9.197797583166297,20.163352787055743,0.10049019607843138,0.0055147058823529415,0.0,16,12,0
N3,8,20,0.034064,140,0.9,0.995,9.197797583166297,20.163352787055743,0.10049019607843138,0.0055147058823529415,0.0,16,15,0
N3,8,20,0.034064,140,0.95,0.99,11.76723936620806,18.286304642749652,0.05024509803921569,0.010416666666666666,0.0055147058823529415,16,9,1
N3,8,20,0.034064,140,0.95,0.99,11.76723936620806,18.286304642749652,0.05024509803921569,0.010416666666666666,0.0,16,12,0
N3,8,20,0.034064,140,0.95,0.99,11.76723936620806,18.286304642749652,0.05024509803921569,0.010416666666666666,0.0,16,15,0
N3,8,20,0.034064,140,0.95,0.995,11.76723936620806,20.163352787055743,0.05024509803921569,0.0055147058823529415,0.0,16,9,0
N3,8,20,0.034064,140,0.95,0.995,11.76723936620806,20.163352787055743,0.05024509803921569,0.0055147058823529415,0.0,16,12,0
N3,8,20,0.034064,140,0.95,0.995,11.76723936620806,20.163352787055743,0.05024509803921569,0.0055147058823529415,0.0,16,15,0
N3,8,20,0.034064,140,0.975,0.99,13.667882124730273,18.286304642749652,0.025122549019607844,0.010416666666666666,0.0055147058823529415,16,9,1
N3,8,20,0.034064,140,0.975,0.99,13.667882124730273,18.286304642749652,0.025122549019607844,0.010416666666666666,0.0,16,12,0
N3,8,20,0.034064,140,0.975,0.99,13.667882124730273,18.286304642749652,0.025122549019607844,0.010416666666666666,0.0,16,15,0
N3,8,20,0.034064,140,0.975,0.995,13.667882124730273,20.163352787055743,0.025122549019607844,0.0055147058823529415,0.0,16,9,0
N3,8,20,0.034064,140,0.975,0.995,13.667882124730273,20.163352787055743,0.025122549019607844,0.0055147058823529415,0.0,16,12,0
N3,8,20,0.034064,140,0.975,0.995,13.667882124730273,20.163352787055743,0.025122549019607844,0.0055147058823529415,0.0,16,15,0
N3,10,3,0.206299,29,0.9,0.99,7.698824771179738,18.826074766102195,0.10040160642570281,0.010327022375215147,0.007458405048766495,20,11,1
N3,10,3,0.206299,29,0.9,0.99,7.698824771179738,18.826074766102195,0.10040160642570281,0.010327022375215147,0.0,20,15,0
N3,10,3,0.206299,29,0.9,0.99,7.698824771179738,18.826074766102195,0.10040160642570281,0.010327022375215147,0.0,20,18,0
N3,10,3,0.206299,29,0.9,0.995,7.698824771179738,26.012227122754204,0.10040160642570281,0.0051635111876075735,0.0,20,11,0
N3,10,3,0.206299,29,0.9,0.995,7.698824771179738,26.012227122754204,0.10040160642570281,0.0051635111876075735,0.0,20,15,0
N3,10,3,0.206299,29,0.9,0.995,7.698824771179738,26.012227122754204,0.10040160642570281,0.0051635111876075735,0.0,20,18,0
N3,10,3,0.206299,29,0.95,0.99,9.969048025298644,18.826074766102195,0.05048766494549627,0.010327022375215147,0.007458405048766495,20,11,1
N3,10,3,0.206299,29,0.95,0.99,9.969048025298644,18.826074766102195,0.05048766494549627,0.010327022375215147,0.0,20,15,0
N3,10,3,0.206299,29,0.95,0.99,9.969048025298644,18.826074766102195,0.05048766494549627,0.010327022375215147,0.0,20,18,0
N3,10,3,0.206299,29,0.95,0.995,9.969048025298644,26.012227122754204,0.05048766494549627,0.0051635111876075735,0.0,20,11,0
N3,10,3,0.206299,29,0.95,0.995,9.969048025298644,26.012227122754204,0.05048766494549627,0.0051635111876075735,0.0,20,15,0
N3,10,3,0.206299,29,0.95,0.995,9.969048025298644,26.012227122754204,0.05048766494549627,0.0051635111876075735,0.0,20,18,0
N3,10,3,0.206299,29,0.975,0.99,12.949443212622997,18.826074766102195,0.025243832472748137,0.010327022375215147,0.007458405048766495,20,11,1
N3,10,3,0.206299,29,0.975,0.99,12.949443212622997,18.826074766102195,0.025243832472748137,0.010327022375215147,0.0,20,15,0
N3,10,3,0.206299,29,0.975,0.99,12.949443212622997,18.826074766102195,0.025243832472748137,0.010327022375215147,0.0,20,18,0
N3,10,3,0.206299,29,0.975,0.995,12.949443212622997,26.012227122754204,0.025243832472748137,0.0051635111876075735,0.0,20,11,0
