workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
100,1,scale-n100-x014,20,20,20,19,19327.21144555
100,1,scale-n100-x015,20,20,20,19,19856.0176682
100,1,scale-n100-x016,20,20,20,19,19130.06209325
100,1,scale-n100-x017,20,20,20,19,19821.3282646
100,1,scale-n100-x018,20,20,20,19,20177.33918795
100,1,scale-n100-x019,20,20,20,20,19305.65633965
100,1,scale-n100-x020,20,20,20,20,19308.2024201
100,1,scale-n100-x021,20,20,20,19,20883.0618702
100,1,scale-n100-x022,20,20,20,19,19780.0754823
100,1,scale-n100-x023,20,20,20,19,20371.77622005
100,1,scale-n100-x024,20,20,20,19,19785.91259525
100,1,scale-n100-x025,20,20,20,20,19171.4187198
100,1,scale-n100-x026,20,20,19,20,19716.4629412
100,1,scale-n100-x027,20,20,20,20,19416.1403202
100,1,scale-n100-x028,20,20,19,20,20636.7055615
100,1,scale-n100-x029,20,20,19,20,20696.13853765
100,1,scale-n100-x030,20,20,19,20,20914.17816555
100,1,scale-n100-x031,20,20,20,20,19964.917040199998
100,1,scale-n100-x032,20,20,20,20,20650.8200155
100,1,scale-n100-x033,20,20,20,20,19907.25797335
100,1,scale-n100-x034,20,20,19,20,20718.21399325
100,1,scale-n100-x035,20,20,18,20,21420.510582349998
100,1,scale-n100-x036,20,20,19,20,22062.13439625
100,1,scale-n100-x037,20,20,20,20,19374.41365635
100,1,scale-n100-x038,20,20,18,20,22458.143555900002
100,1,scale-n100-x039,20,20,19,20,20849.91285115
100,1,scale-n100-x040,20,20,18,20,20135.362096
100,1,scale-n100-x041,20,20,19,20,21010.62449735
100,1,scale-n100-x042,20,20,19,20,20672.183153500002
100,1,scale-n100-x043,20,20,19,20,19829.4793604
100,1,scale-n100-x044,20,20,19,20,19190.1006672
100,1,scale-n100-x045,20,20,17,20,21784.65758725
100,1,scale-n100-x046,20,20,19,20,20370.994774500003
100,1,scale-n100-x047,20,20,20,20,19552.46262795
100,1,scale-n100-x048,20,20,19,20,19433.44715335
100,1,scale-n100-x049,20,20,19,20,20818.78803215
100,1,scale-n100-x050,20,20,20,20,19613.55867405
100,1,scale-n100-x051,20,20,19,20,21359.353377400003
100,1,scale-n100-x052,20,20,19,20,21653.67198295
100,1,scale-n100-x053,20,20,19,20,20897.19023745
100,1,scale-n100-x054,20,20,20,20,20640.9927441
100,1,scale-n100-x055,20,20,19,20,21333.968542299997
100,1,scale-n100-x056,20,20,19,20,19781.232946750002
100,1,scale-n100-x057,20,20,18,20,21124.59572255
100,1,scale-n100-x058,20,20,19,20,21372.4123015
100,1,scale-n100-x059,20,20,18,20,22003.75692525
100,1,scale-n100-x060,20,20,20,20,20421.0515717
100,1,scale-n100-x061,20,20,20,20,20294.8039463
100,1,scale-n100-x062,20,20,18,20,21784.12180565
100,1,scale-n100-x063,20,20,19,20,21751.187647849998
100,1,scale-n100-x064,20,20,19,20,21581.07805585
100,1,scale-n100-x065,20,20,18,20,23608.158320399998
100,1,scale-n100-x066,20,20,18,20,22356.75952855
100,1,scale-n100-x067,20,20,19,20,22121.5406017
100,1,scale-n100-x068,20,20,19,20,22470.0531342
100,1,scale-n100-x069,20,20,19,20,21808.3809087
100,1,scale-n100-x070,20,20,19,20,21974.3262927
100,1,scale-n100-x071,20,20,19,20,21095.37069705
100,1,scale-n100-x072,20,20,18,20,22619.54534805
100,1,scale-n100-x073,20,20,18,20,23087.72994375
100,1,scale-n100-x074,20,20,20,20,19791.40011245
100,1,scale-n100-x075,20,20,19,20,22919.38323675
100,1,scale-n100-x076,20,20,18,20,24816.202484550002
100,1,scale-n100-x077,20,20,19,20,22706.741392300002
100,1,scale-n100-x078,20,20,20,20,20414.12955145
100,1,scale-n100-x079,20,20,17,20,23630.9778806
100,1,scale-n100-x080,20,20,20,20,20083.397358
100,1,scale-n100-x081,20,20,17,20,24144.0719762
100,1,scale-n100-x082,20,20,18,20,21904.8306969
100,1,scale-n100-x083,20,20,18,20,24343.20584725
100,1,scale-n100-x084,20,20,18,20,24603.978455850003
100,1,scale-n100-x085,20,20,18,20,24495.15158195
100,1,scale-n100-x086,20,20,19,20,21677.720887900003
100,1,scale-n100-x087,20,20,18,20,24099.85063015
100,1,scale-n100-x088,20,20,18,20,23499.608825850002
100,1,scale-n100-x089,20,20,19,20,22218.185070300002
100,1,scale-n100-x090,20,20,19,20,21985.76096
100,1,scale-n100-x091,20,20,19,20,23433.7723473
100,1,scale-n100-x092,20,20,19,20,22948.4206794
100,1,scale-n100-x093,20,20,19,20,23291.43758755
100,1,scale-n100-x094,20,20,20,20,21614.78155195
100,1,scale-n100-x095,20,20,18,20,22795.536377
100,1,scale-n100-x096,20,20,18,20,23528.8537407
100,1,scale-n100-x097,20,20,20,20,22160.29342115
100,1,scale-n100-x098,20,20,19,20,23046.928314049997
100,1,scale-n100-x099,20,20,18,20,24091.7953191
100,2,scale-n100-x000,20,20,20,19,18299.806138
100,2,scale-n100-x001,20,20,19,19,18956.088829
100,2,scale-n100-x002,20,20,20,19,17963.9974535
100,2,scale-n100-x003,20,20,19,19,18979.568874700002
100,2,scale-n100-x004,20,20,20,19,18213.885600150003
100,2,scale-n100-x005,20,20,19,19,19343.614580550002
100,2,scale-n100-x006,20,20,20,19,18587.38847305
100,2,scale-n100-x007,20,20,19,19,20021.10332445
100,2,scale-n100-x008,20,20,20,19,19295.731506699998
100,2,scale-n100-x009,20,20,19,19,19991.93709955
100,2,scale-n100-x010,20,20,19,19,19831.696506
100,2,scale-n100-x011,20,20,18,19,20363.6984862
100,2,scale-n100-x012,20,20,19,19,19860.85160645
100,2,scale-n100-x013,20,20,20,19,17626.8445683
100,2,scale-n100-x014,20,20,18,19,20432.2784066
100,2,scale-n100-x015,20,20,20,19,18812.208227050003
100,2,scale-n100-x016,20,20,20,19,19111.5026242
100,2,scale-n100-x017,20,20,19,19,21321.54654105
100,2,scale-n100-x018,20,20,20,19,17972.2742798
100,2,scale-n100-x019,20,20,20,20,19447.02236045
100,2,scale-n100-x020,20,20,20,20,18577.60892105
100,2,scale-n100-x021,20,20,20,20,19153.17623385
100,2,scale-n100-x022,20,20,19,20,21600.9298634
100,2,scale-n100-x023,20,20,20,20,20393.75807135
100,2,scale-n100-x024,20,20,20,20,18343.67153725
100,2,scale-n100-x025,20,20,20,20,19995.01104875
100,2,scale-n100-x026,20,20,20,20,20038.82933065
100,2,scale-n100-x027,20,20,19,20,20832.1432282
100,2,scale-n100-x028,20,20,19,20,22087.58518935
100,2,scale-n100-x029,20,20,20,20,19373.2573231
100,2,scale-n100-x030,20,20,19,20,19667.4350183
100,2,scale-n100-x031,20,20,20,20,18911.25481975
100,2,scale-n100-x032,20,20,19,20,19596.71212205
100,2,scale-n100-x033,20,20,19,20,19747.50261485
100,2,scale-n100-x034,20,20,18,20,21555.98710965
100,2,scale-n100-x035,20,20,20,20,19456.6123957
100,2,scale-n100-x036,20,20,18,20,21436.2276876
100,2,scale-n100-x037,20,20,17,20,23915.17703005
100,2,scale-n100-x038,20,20,18,20,22533.802603149998
100,2,scale-n100-x039,20,20,18,20,21469.35779955
100,2,scale-n100-x040,20,20,19,20,21268.76015915
100,2,scale-n100-x041,20,20,19,20,21395.170332
100,2,scale-n100-x042,20,20,18,20,22112.6888015
100,2,scale-n100-x043,20,20,19,20,21925.43814865
100,2,scale-n100-x044,20,20,19,20,21573.4402955
100,2,scale-n100-x045,20,20,19,20,21867.60014785
100,2,scale-n100-x046,20,20,19,20,22695.81496305
100,2,scale-n100-x047,20,20,18,20,23027.5277759
100,2,scale-n100-x048,20,20,18,20,22089.639885649998
100,2,scale-n100-x049,20,20,20,20,20385.2246625
100,2,scale-n100-x050,20,20,19,20,21540.14759045
100,2,scale-n100-x051,20,20,18,20,22994.89040405
100,2,scale-n100-x052,20,20,19,20,22267.343516150002
100,2,scale-n100-x053,20,20,20,20,21734.0642847
100,2,scale-n100-x054,20,20,19,20,22746.1634001
100,2,scale-n100-x055,20,20,19,20,23370.88163575
100,2,scale-n100-x056,20,20,19,20,22582.59721765
100,2,scale-n100-x057,20,20,19,20,20612.05566675
100,2,scale-n100-x058,20,20,19,20,21717.6662151
100,2,scale-n100-x059,20,20,19,20,21027.915010200002
100,2,scale-n100-x060,20,20,19,20,21127.72979825
100,2,scale-n100-x061,20,20,20,20,21227.00105875
100,2,scale-n100-x062,20,20,18,20,22618.99758975
100,2,scale-n100-x063,20,20,19,20,21934.205992249998
100,2,scale-n100-x064,20,20,18,20,24297.536481299998
100,2,scale-n100-x065,20,20,20,20,21702.68190045
100,2,scale-n100-x066,20,20,19,20,21306.74490795
100,2,scale-n100-x067,20,20,20,20,19993.49606935
100,2,scale-n100-x068,20,20,20,20,19758.8371406
100,2,scale-n100-x069,20,20,20,20,20443.939403
100,2,scale-n100-x070,20,20,18,20,24461.38609765
100,2,scale-n100-x071,20,20,18,20,24550.7863587
100,2,scale-n100-x072,20,20,18,20,23155.1113167
100,2,scale-n100-x073,20,20,19,20,22033.4943869
100,2,scale-n100-x074,20,20,19,20,21735.9360341
100,2,scale-n100-x075,20,20,17,20,24474.6356941
100,2,scale-n100-x076,20,20,19,20,21436.9921995
100,2,scale-n100-x077,20,20,17,20,24743.873829850003
100,2,scale-n100-x078,20,20,18,20,23174.7218746
