workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
45,1,scale-n045-x033,20,20,20,20,6707.63073665
45,1,scale-n045-x034,20,20,20,20,6502.614434900001
45,1,scale-n045-x035,20,20,20,20,7013.35801075
45,1,scale-n045-x036,20,20,20,20,7521.5794315
45,1,scale-n045-x037,20,20,20,20,7116.781227150001
45,1,scale-n045-x038,20,20,20,20,7476.456400499999
45,1,scale-n045-x039,20,20,20,20,6991.87598065
45,1,scale-n045-x040,20,20,20,20,7242.0668344999995
45,1,scale-n045-x041,20,20,20,20,7487.0862572
45,1,scale-n045-x042,20,20,20,20,7456.7821887
45,1,scale-n045-x043,20,20,20,20,7007.7247213499995
45,1,scale-n045-x044,20,20,20,20,7818.7886629
50,1,scale-n050-x000,20,20,20,18,4149.5063923
50,1,scale-n050-x001,20,20,20,18,3346.00177825
50,1,scale-n050-x002,20,20,20,18,3480.8881892500003
50,1,scale-n050-x003,20,20,20,18,4026.4180984
50,1,scale-n050-x004,20,20,20,18,3675.0846829
50,1,scale-n050-x005,20,20,20,18,3943.9757961000005
50,1,scale-n050-x006,20,20,20,18,4959.2063778
50,1,scale-n050-x007,20,20,20,18,5120.1921996500005
50,1,scale-n050-x008,20,20,20,18,4468.819594549999
50,1,scale-n050-x009,20,20,20,18,4102.53765485
50,1,scale-n050-x010,20,20,20,18,5406.0761315
50,1,scale-n050-x011,20,20,20,18,4806.5255678
50,1,scale-n050-x012,20,20,20,18,4234.9998025
50,1,scale-n050-x013,20,20,20,18,4567.81328575
50,1,scale-n050-x014,20,20,20,19,6077.2193992
50,1,scale-n050-x015,20,20,20,18,5347.44770195
50,1,scale-n050-x016,20,20,20,19,5111.89275225
50,1,scale-n050-x017,20,20,20,19,5964.3543211
50,1,scale-n050-x018,20,20,20,19,5568.01078115
50,1,scale-n050-x019,20,20,20,19,5172.36249475
50,1,scale-n050-x020,20,20,20,19,5211.8291294499995
50,1,scale-n050-x021,20,20,20,19,4939.1512774
50,1,scale-n050-x022,20,20,20,19,5277.88304305
50,1,scale-n050-x023,20,20,20,19,5748.6297637
50,1,scale-n050-x024,20,20,20,19,5187.0694381
50,1,scale-n050-x025,20,20,20,19,5903.69327765
50,1,scale-n050-x026,20,20,20,19,5760.04269355
50,1,scale-n050-x027,20,20,20,19,6115.0770227
50,1,scale-n050-x028,20,20,20,19,5723.12954555
50,1,scale-n050-x029,20,20,20,19,5483.62360105
50,1,scale-n050-x030,20,20,20,20,5254.8732314
50,1,scale-n050-x031,20,20,20,20,6168.7539778
50,1,scale-n050-x032,20,20,20,20,5401.0839759
50,1,scale-n050-x033,20,20,20,20,5302.641398850001
50,1,scale-n050-x034,20,20,20,20,6707.94077505
50,1,scale-n050-x035,20,20,20,20,5686.3052441
50,1,scale-n050-x036,20,20,20,20,5700.632007300001
50,1,scale-n050-x037,20,20,20,20,5493.4058825
50,1,scale-n050-x038,20,20,20,20,5192.67615035
50,1,scale-n050-x039,20,20,20,20,5150.97668965
50,1,scale-n050-x040,20,20,20,20,5036.574391
