workloads,repetition,request_id,xapp,scheduled_offset_ms,send_lag_ms,service_latency_ms,end_to_end_ms,deadline_missed,http_code,response_valid,state,error
5,1,n5-r1-s013-x004,scale-n005-x004,51051271.528716,3.100355,74.80244,77.902795,0,200,1,SUSPICIOUS,
5,1,n5-r1-s014-x000,scale-n005-x000,51052271.528716,0.352552,108.817355,109.169907,0,200,1,SUSPICIOUS,
5,1,n5-r1-s014-x001,scale-n005-x001,51052271.528716,0.802563,109.760406,110.562969,0,200,1,SUSPICIOUS,
5,1,n5-r1-s014-x002,scale-n005-x002,51052271.528716,1.063017,104.5269,105.589917,0,200,1,SUSPICIOUS,
5,1,n5-r1-s014-x003,scale-n005-x003,51052271.528716,1.339712,107.966116,109.305828,0,200,1,SUSPICIOUS,
5,1,n5-r1-s014-x004,scale-n005-x004,51052271.528716,1.737504,104.512904,106.250408,0,200,1,SUSPICIOUS,
5,1,n5-r1-s015-x000,scale-n005-x000,51053271.528716,0.748712,115.806356,116.555068,0,200,1,SUSPICIOUS,
5,1,n5-r1-s015-x001,scale-n005-x001,51053271.528716,0.98,112.943692,113.923692,0,200,1,SUSPICIOUS,
5,1,n5-r1-s015-x002,scale-n005-x002,51053271.528716,1.275258,107.118081,108.393339,0,200,1,SUSPICIOUS,
5,1,n5-r1-s015-x003,scale-n005-x003,51053271.528716,1.444925,114.820412,116.265337,0,200,1,SUSPICIOUS,
5,1,n5-r1-s015-x004,scale-n005-x004,51053271.528716,2.158887,119.165388,121.324275,0,200,1,SUSPICIOUS,
5,1,n5-r1-s016-x000,scale-n005-x000,51054271.528716,0.230095,120.512325,120.74242,0,200,1,SUSPICIOUS,
5,1,n5-r1-s016-x001,scale-n005-x001,51054271.528716,0.476067,115.390235,115.866302,0,200,1,SUSPICIOUS,
5,1,n5-r1-s016-x002,scale-n005-x002,51054271.528716,0.995948,116.225722,117.22167,0,200,1,SUSPICIOUS,
5,1,n5-r1-s016-x003,scale-n005-x003,51054271.528716,1.665072,124.79561,126.460682,0,200,1,SUSPICIOUS,
5,1,n5-r1-s016-x004,scale-n005-x004,51054271.528716,1.915089,121.6102,123.525289,0,200,1,SUSPICIOUS,
5,1,n5-r1-s017-x000,scale-n005-x000,51055271.528716,0.717976,101.474516,102.192492,0,200,1,SUSPICIOUS,
5,1,n5-r1-s017-x001,scale-n005-x001,51055271.528716,0.932712,115.947805,116.880517,0,200,1,SUSPICIOUS,
5,1,n5-r1-s017-x002,scale-n005-x002,51055271.528716,1.309044,114.820152,116.129196,0,200,1,SUSPICIOUS,
5,1,n5-r1-s017-x003,scale-n005-x003,51055271.528716,1.600087,111.719378,113.319465,0,200,1,SUSPICIOUS,
5,1,n5-r1-s017-x004,scale-n005-x004,51055271.528716,1.78356,114.743104,116.526664,0,200,1,SUSPICIOUS,
5,1,n5-r1-s018-x000,scale-n005-x000,51056271.528716,0.296653,124.749356,125.046009,0,200,1,SUSPICIOUS,
5,1,n5-r1-s018-x001,scale-n005-x001,51056271.528716,0.722296,114.762206,115.484502,0,200,1,SUSPICIOUS,
5,1,n5-r1-s018-x002,scale-n005-x002,51056271.528716,1.098316,122.046212,123.144528,0,200,1,SUSPICIOUS,
