workloads,repetition,duration_s,offered_rate_requests_s,expected_requests,observed_requests,valid_responses,invalid_responses,error_rate,deadline_misses,deadline_miss_rate,send_lag_p95_ms,service_latency_mean_ms,service_latency_p50_ms,service_latency_p95_ms,service_latency_p99_ms,service_latency_max_ms,end_to_end_p95_ms,end_to_end_p99_ms,drain_wall_s,achieved_completion_rate_requests_s,evaluator_cpu_time_s,evaluator_mean_cpu_cores,evaluator_throttled_time_s,evaluator_throttle_events,evaluator_memory_before_bytes,evaluator_memory_after_bytes,client_cpu_time_s,pod_uid,pod_restart_count
40,1,20,40,800,800,800,0,0.0,762,0.9525,4093.4368303499996,5888.014443987499,5944.2456870000005,11815.615871999998,14053.646283179994,17537.489357,12334.058429899998,14061.003670929995,25.830165876,30.971539394693433,26.118454,1.0111609087368603,2.831674,221,142462976,144003072,1.16065812,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
60,1,20,60,1200,1200,1200,0,0.0,1165,0.9708333333333333,16991.41883345,7595.650820915834,7508.774656,14488.1683691,18107.462082000002,20330.924402,23144.937111900002,24455.94664114,39.639269588,30.27300988319109,39.969119,1.0083212787578673,3.549943,344,144285696,149192704,1.621317596,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
80,1,20,80,1600,1600,1600,0,0.0,1572,0.9825,29552.0313512,8134.057069234375,7925.7527935,15029.112928949999,19218.64284595,23996.586336,35334.72479035,36558.83083366,53.625046419,29.836804009424608,53.935732,1.005793665493032,5.155737,483,150577152,154357760,2.125211569,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
80,2,20,80,1600,1600,1600,0,0.0,1571,0.981875,31928.196813,8509.210441719375,8434.8822635,14437.3519854,17383.52387908,23149.58495,37565.56846615,38561.43041462,55.811478579,28.667937863986758,55.867944,1.0010117169879325,6.26097,500,155426816,158515200,2.186609008,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
60,2,20,60,1200,1200,1200,0,0.0,1194,0.995,17398.8667312,8120.261205259168,8036.5944230000005,12851.7525959,14827.96043179,16858.899692,23815.17210735,25480.60411566,41.059873881,29.22561339272127,41.709394,1.0158188532405736,4.750849,373,160157696,161624064,1.65473369,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
40,2,20,40,800,800,800,0,0.0,734,0.9175,3405.4131923,5851.26908672125,6183.309924499999,10980.212252149995,14199.47848289,16424.829727,11902.698893549998,14205.900873,25.937789547,30.843029185288806,26.322767,1.0148423385231964,3.131867,242,160100352,160956416,1.108775727,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
35,2,20,35,700,700,700,0,0.0,431,0.6157142857142858,33.835774699999995,1716.6859601028573,1158.1405645,4491.7305906,5240.96145603,6593.489115,4506.30525575,5242.49471583,21.068790663,33.22449832060396,21.254569,1.0088177029223728,2.817801,192,160415744,160374784,0.953118274,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
30,2,20,30,600,600,600,0,0.0,42,0.07,20.575284249999996,662.877821475,682.327211,1027.8804592999998,1193.5010269599998,1848.395548,1045.9353808499998,1205.9116804799994,20.077466674,29.884248333829408,18.874635,0.9400904659173138,1.676345,133,160411648,159621120,0.697481864,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
25,2,20,25,500,500,500,0,0.0,0,0.0,15.533518349999994,468.792575356,478.7529345,686.7105289499999,749.1028851899999,757.275931,697.6420998499999,760.86592073,19.579296711,25.537178754694033,13.959288,0.7129616658885107,0.656855,89,159973376,159694848,0.580996047,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
20,2,20,20,400,400,400,0,0.0,0,0.0,10.354587499999989,395.49892133000003,418.062363,545.55829005,614.6717342299999,664.282327,554.80324525,622.73853273,19.578855279,20.43020362017969,11.356807,0.5800546987127051,0.320406,58,159854592,160657408,0.424456739,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
10,2,20,10,200,200,200,0,0.0,0,0.0,10.358031649999996,294.97706891999997,249.450405,500.5459914,516.86752613,531.040559,507.29636214999994,518.24322536,19.512451713,10.249865211287197,7.26432,0.37229150425828905,0.78802,46,161107968,160595968,0.265660853,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
5,2,20,5,100,100,100,0,0.0,0,0.0,3.3193409499999986,136.74362432,127.98608250000001,179.63501889999978,286.47273507,287.070306,181.2744101499998,290.80893172000003,19.139074714,5.224912985310163,3.299157,0.17237808249876924,0.622294,19,160538624,160677888,0.107489435,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
4,2,20,4,80,80,80,0,0.0,0,0.0,2.7639939499999997,98.81261855,92.69120649999999,153.86223865,157.55014819,158.666686,155.546039,160.78686674,19.138026945,4.180159231142728,3.19178,0.1667768578847092,0.005849,2,160833536,161255424,0.092138863,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
