schema,started_utc,finished_utc,workloads,repetition,seed,warmup_ticks,measured_ticks,ticks,max_contexts,decision_equiv_ok,decision_mismatches,expected_updates,observed_updates,trace_accepted_rows,wall_time_s,cpu_time_s,throughput_updates_s,cpu_utilization_one_core_pct,rss_start_bytes,rss_end_bytes,rss_delta_bytes,cycle_latency_mean_ms,cycle_latency_median_ms,cycle_latency_p50_ms,cycle_latency_p95_ms,cycle_latency_p99_ms,cycle_latency_max_ms,deadline_misses,deadline_miss_rate
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:00.117892+00:00,2026-08-08T05:22:00.353992+00:00,3,1,20263808,8,300,300,80,True,0,924,924,1772,0.047853504,0.047583615,19308.93085697549,99.43600995237465,38240256,38617088,376832,0.15246280666666667,0.12329699999999999,0.12329699999999999,0.40646960000000015,0.5657398299999999,0.888259,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:00.380214+00:00,2026-08-08T05:22:00.725624+00:00,3,2,20263809,8,300,300,80,True,0,924,924,1772,0.048298503,0.048304592,19131.027725641932,100.01260701599799,38137856,38526976,389120,0.1526918733333333,0.12288550000000001,0.12288550000000001,0.3046966500000002,0.4702897699999993,0.765848,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:00.757178+00:00,2026-08-08T05:22:00.991582+00:00,3,3,20263810,8,300,300,80,True,0,924,924,1772,0.039922961,0.039928036,23144.575874519927,100.01271198296138,38199296,38572032,372736,0.12640442333333332,0.12074599999999999,0.12074599999999999,0.17048725,0.25132601999999893,0.517887,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:01.020719+00:00,2026-08-08T05:22:01.264982+00:00,3,4,20263811,8,300,300,80,True,0,924,924,1772,0.04563,0.045407306,20249.83563445102,99.5119570458032,38174720,38563840,389120,0.14531085666666668,0.1405825,0.1405825,0.19345075000000003,0.28671027999999993,0.499539,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:01.292260+00:00,2026-08-08T05:22:01.631558+00:00,3,5,20263812,8,300,300,80,True,0,924,924,1772,0.054772214,0.054342486,16869.867630328034,99.21542700464875,38285312,38662144,376832,0.17432023666666666,0.130361,0.130361,0.42679245000000016,0.6087287899999998,0.771976,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:01.658298+00:00,2026-08-08T05:22:01.970317+00:00,4,1,20264808,8,300,300,80,True,0,1232,1232,1772,0.076706702,0.076642183,16061.178070203045,99.91588870552667,38182912,38572032,389120,0.24561851333333332,0.17786649999999998,0.17786649999999998,0.6111306000000001,0.7399064099999991,1.119603,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:01.996123+00:00,2026-08-08T05:22:02.313166+00:00,4,2,20264809,8,300,300,80,True,0,1232,1232,1772,0.050891038,0.050856969,24208.58462348518,99.93305501058948,38313984,38686720,372736,0.16204829333333334,0.1577895,0.1577895,0.20899435,0.22255345999999965,0.27364,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:02.338086+00:00,2026-08-08T05:22:02.669540+00:00,4,3,20264810,8,300,300,80,True,0,1232,1232,1772,0.061831394,0.061754659,19925.153232029672,99.87589637717048,38150144,38522880,372736,0.19574974,0.17162650000000002,0.17162650000000002,0.31978985000000004,0.5239096999999995,0.772296,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:02.691188+00:00,2026-08-08T05:22:02.955484+00:00,4,4,20264811,8,300,300,80,True,0,1232,1232,1772,0.05757008,0.057542057,21400.00500259857,99.95132367368605,38158336,38547456,389120,0.18373804999999999,0.159988,0.159988,0.31049910000000025,0.49768288999999793,0.777848,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:02.980237+00:00,2026-08-08T05:22:03.220585+00:00,4,5,20264812,8,300,300,80,True,0,1232,1232,1772,0.053361165,0.053286831,23087.951696706772,99.8606964446897,38199296,38588416,389120,0.17089952333333333,0.162412,0.162412,0.22656355,0.27303955999999974,1.620678,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:03.245777+00:00,2026-08-08T05:22:03.588274+00:00,5,1,20265808,8,300,300,80,True,0,1540,1540,1772,0.090989893,0.090869019,16924.956709202856,99.86715667420336,38117376,38506496,389120,0.29139737,0.21589550000000002,0.21589550000000002,0.6976527000000002,1.2352108899999996,1.560694,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:03.610727+00:00,2026-08-08T05:22:03.896962+00:00,5,2,20265809,8,300,300,80,True,0,1540,1540,1772,0.074655846,0.074627619,20627.989400856834,99.96219050280402,38219776,38608896,389120,0.23518822333333333,0.21442899999999998,0.21442899999999998,0.32220315,0.6930929399999997,0.889695,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:22:03.919498+00:00,2026-08-08T05:22:04.206288+00:00,5,3,20265810,8,300,300,80,True,0,1540,1540,1772,0.071139132,0.071119665,21647.71985129085,99.97263531413344,38141952,38531072,389120,0.2281459866666667,0.196403,0.196403,0.34251165000000006,0.8083542399999994,1.028614,0,0.0
